n.,data,estado,país,atualizado_em,confirmados,mortes,recuperados
30064,2020-05-26,Espirito Santo,Brazil,2021-04-02 15:13:53,10889.0,487.0,0.0
30077,2020-05-26,Goias,Brazil,2021-04-02 15:13:53,2671.0,104.0,0.0
30124,2020-05-26,Maranhao,Brazil,2021-04-02 15:13:53,24278.0,817.0,0.0
30129,2020-05-26,Mato Grosso,Brazil,2021-04-02 15:13:53,1628.0,43.0,0.0
30130,2020-05-26,Mato Grosso do Sul,Brazil,2021-04-02 15:13:53,1100.0,17.0,0.0
30139,2020-05-26,Minas Gerais,Brazil,2021-04-02 15:13:53,7516.0,234.0,0.0
30181,2020-05-26,Para,Brazil,2021-04-02 15:13:53,28600.0,2469.0,0.0
30182,2020-05-26,Paraiba,Brazil,2021-04-02 15:13:53,8919.0,286.0,0.0
30183,2020-05-26,Parana,Brazil,2021-04-02 15:13:53,3512.0,159.0,0.0
30185,2020-05-26,Pernambuco,Brazil,2021-04-02 15:13:53,28854.0,2328.0,0.0
30186,2020-05-26,Piaui,Brazil,2021-04-02 15:13:53,3720.0,119.0,0.0
30201,2020-05-26,Rio Grande do Norte,Brazil,2021-04-02 15:13:53,5472.0,220.0,0.0
30202,2020-05-26,Rio Grande do Sul,Brazil,2021-04-02 15:13:53,6785.0,203.0,0.0
30203,2020-05-26,Rio de Janeiro,Brazil,2021-04-02 15:13:53,40024.0,4361.0,0.0
30204,2020-05-26,Rondonia,Brazil,2021-04-02 15:13:53,3493.0,133.0,0.0
30205,2020-05-26,Roraima,Brazil,2021-04-02 15:13:53,2583.0,102.0,0.0
30213,2020-05-26,Santa Catarina,Brazil,2021-04-02 15:13:53,7016.0,121.0,0.0
30214,2020-05-26,Sao Paulo,Brazil,2021-04-02 15:13:53,86017.0,6423.0,0.0
30218,2020-05-26,Sergipe,Brazil,2021-04-02 15:13:53,5735.0,116.0,0.0
30242,2020-05-26,Tocantins,Brazil,2021-04-02 15:13:53,2858.0,64.0,0.0
30451,2020-05-27,Acre,Brazil,2021-04-02 15:13:53,5251.0,113.0,0.0
30454,2020-05-27,Alagoas,Brazil,2021-04-02 15:13:53,7580.0,368.0,0.0
30457,2020-05-27,Amapa,Brazil,2021-04-02 15:13:53,7619.0,183.0,0.0
30458,2020-05-27,Amazonas,Brazil,2021-04-02 15:13:53,33508.0,1891.0,0.0
30474,2020-05-27,Bahia,Brazil,2021-04-02 15:13:53,15070.0,531.0,0.0
30500,2020-05-27,Ceara,Brazil,2021-04-02 15:13:53,37275.0,2671.0,0.0
30517,2020-05-27,Distrito Federal,Brazil,2021-04-02 15:13:53,7761.0,133.0,0.0
30520,2020-05-27,Espirito Santo,Brazil,2021-04-02 15:13:53,11484.0,511.0,0.0
30533,2020-05-27,Goias,Brazil,2021-04-02 15:13:53,2843.0,108.0,0.0
30580,2020-05-27,Maranhao,Brazil,2021-04-02 15:13:53,26145.0,853.0,0.0
30585,2020-05-27,Mato Grosso,Brazil,2021-04-02 15:13:53,1839.0,46.0,0.0
30586,2020-05-27,Mato Grosso do Sul,Brazil,2021-04-02 15:13:53,1186.0,18.0,0.0
30595,2020-05-27,Minas Gerais,Brazil,2021-04-02 15:13:53,8011.0,240.0,0.0
30637,2020-05-27,Para,Brazil,2021-04-02 15:13:53,31033.0,2545.0,0.0
30638,2020-05-27,Paraiba,Brazil,2021-04-02 15:13:53,10209.0,298.0,0.0
30639,2020-05-27,Parana,Brazil,2021-04-02 15:13:53,3712.0,162.0,0.0
30641,2020-05-27,Pernambuco,Brazil,2021-04-02 15:13:53,29919.0,2468.0,0.0
30642,2020-05-27,Piaui,Brazil,2021-04-02 15:13:53,3966.0,134.0,0.0
30657,2020-05-27,Rio Grande do Norte,Brazil,2021-04-02 15:13:53,5630.0,242.0,0.0
30658,2020-05-27,Rio Grande do Sul,Brazil,2021-04-02 15:13:53,7048.0,209.0,0.0
30659,2020-05-27,Rio de Janeiro,Brazil,2021-04-02 15:13:53,42398.0,4605.0,0.0
30660,2020-05-27,Rondonia,Brazil,2021-04-02 15:13:53,3862.0,137.0,0.0
30661,2020-05-27,Roraima,Brazil,2021-04-02 15:13:53,2682.0,102.0,0.0
30669,2020-05-27,Santa Catarina,Brazil,2021-04-02 15:13:53,7372.0,126.0,0.0
